name	description	volume	stock	price
Balvenie 25 Years Old 0,7 л	Этот 25-летний виски от Balvenie обладает глубокой сложностью и насыщенным ароматом с древесными нотами. Вкус богат и многогранный, с оттенками ванили, специй и фруктов, что делает его исключительно гармоничным и наслаждение для истинных ценителей виски.	0.7	0	68250
Balvenie 40 Years Old 0,7 л	40-летний виски Balvenie - это настоящая редкость, выдержанная в дубовых бочках на протяжении десятилетий. Он радует богатым букетом и сложным вкусом, включая ноты меда, орехов и дуба, что делает его великолепным и изысканным напитком.	0.7	1	609000
Glenfiddich 21 Years Old 0,7 л	Glenfiddich 21-летний виски обладает бархатным вкусом с нотами ванили, дуба и специй. Его долгая выдержка придает этому напитку уникальный характер и гармонию во вкусе.	0.7	15	23100
Glenfiddich 25 Years Old 0,7 л	Glenfiddich 25-летний виски характеризуется богатым вкусом, включающим ноты меда, ванили и фруктов. Его аромат также насыщен фруктовыми нотами, делая его исключительным выбором для ценителей виски.	0.7	3	60900
Glenfiddich 40 Years Old 0,7 л	40-летний Glenfiddich - это впечатляющий виски с богатыми древесными и фруктовыми оттенками. Его выдающаяся выдержка придает напитку невероятную сложность и глубину вкуса, с нотами вишни, яблока и меда.	0.7	2	472500
Laphroaig 25 Years Old 2013 0,7 л	Этот 25-летний Laphroaig представляет собой редкое сочетание сильных торфяных и древесных нот, делая его идеальным выбором для ценителей торфяных виски.	0.7	1	94500
Famous Grouse 30 Years Old 0,7 л	30-летний Famous Grouse - это редкий и выдержанный виски с глубокими фруктовыми нотами и приятной пряностью.	0.7	1	55650
Glenlivet 21 Years Old 0,7 л	Glenlivet 21-летний виски отличается изысканным букетом и гармоничным вкусом, в котором выделяются ноты спелых фруктов, ванили и древесины. Этот напиток обладает долгой историей и премиальным статусом.	0.7	0	23100
Glenlivet 25 Years Old 0,7 л	Glenlivet 25-летний виски характеризуется богатым вкусом, с оттенками трав, меда и фруктовых нот. Его сложность и утонченность делают его излюбленным выбором ценителей виски.	0.7	0	42000
Bowmore 25 Years Old 0,7 л	25-летний виски от Bowmore отличается богатым и глубоким вкусом с нотами дыма, морских водорослей и торфа. Его история и выдающееся качество делают его премиальным напитком.	0.7	1	54600
Dewar's Signature 0,7 л	Dewar's Signature представляет собой смесь высококачественных солодовых и зерновых виски с яркими фруктовыми и цветочными нотами. Этот виски воплощает лучшие традиции шотландского виски и олицетворяет премиальность марки Dewar's.	0.7	5	22050
Ballantine's 21 Years Old 0,7 л	Ballantine's 21-летний виски обладает гармоничным и сложным вкусом, в котором преобладают ноты ванили, меда и фруктов. Этот напиток выдерживается в дубовых бочках и имеет выдающийся статус среди любителей виски.	0.7	72	12075
Ballantine's 30 Years Old 0,7 л	30-летний Ballantine's - это редкость с богатым букетом и сложным вкусом, включая ноты карамели, дуба и специй. Этот напиток представляет собой истинное произведение искусства и является воплощением премиальности марки Ballantine's.	0.7	0	42000
Macallan Estate Black 0,7 л	Macallan Estate Black - это виски с богатым вкусом, включающим в себя ноты шоколада, карамели и дуба. Этот напиток олицетворяет качество и традиции Macallan и представляет собой премиальный вариант для ценителей.	0.7	8	38850
Glengoyne 40 Years Old 0,7 л	40-летний Glengoyne впечатляет богатыми древесными и фруктовыми оттенками. Его долгая выдержка придает ему невероятную сложность и глубину вкуса, с нотами вишни, яблока и меда.	0.7	1	945000
Hennessy Paradis Imperial 0,7 л	Hennessy Paradis Imperial - это роскошный коньяк с изысканным букетом, включая ароматы цветов и ванили. Этот напиток является воплощением роскоши и престижа марки Hennessy.	0.7	5	231000
Rémy Martin Diamant 0,7 л	Rémy Martin Diamant - это коньяк с богатыми фруктовыми и цветочными нотами, дополненными нюансами ванили и дуба. Этот напиток олицетворяет высшие стандарты качества и изысканности коньячного искусства.	0.7	7	78750
Courvoisier Elégance 0,7 л	Courvoisier Elégance - это коньяк с мягким вкусом и нотами сливы и ванили. Он признан своей премиальностью и гармоничностью вкуса.	0.7	1	441000
Otard XO 0,7 л	Otard XO - это изысканный коньяк с богатыми фруктовыми и древесными оттенками. Его долгая выдержка делает его великолепным выбором для ценителей коньяка.	0.7	4	16275
Camus Michel Royer 0,7 л	Camus Michel Royer - это коньяк с нотами фруктов и ванили, с бархатистым и гармоничным вкусом. Этот напиток является выдающимся представителем мастерства и качества марки Camus.	0.7	1	231000
Otard Extra 0,7 л	Otard Extra - это изысканный коньяк с богатыми фруктовыми и древесными оттенками. Его выдающееся качество и утонченность вкуса делают его идеальным выбором для особых моментов.	0.7	2	54600
La Grande Dame Rosé 2006 0,75 л	La Grande Dame Rosé 2006 - это розовое шампанское с богатыми ароматами красных ягод и цветочными нотами. Его прекрасное качество и элегантность делают его идеальным для особых торжеств и праздников.	0.75	2	31500
La Grande Dame Rosé 1995 0,75 л	La Grande Dame Rosé 1995 - это розовое шампанское с насыщенными фруктовыми ароматами и нотами миндаля. Этот напиток представляет роскошь и качество марки La Grande Dame.	0.75	0	34650
Suntory Royal Tiger 0,7 л	Suntory Royal Tiger - это виски с богатым вкусом и сложными фруктовыми и древесными оттенками. Этот напиток от Suntory является выразительным представителем виски из Японии.	0.7	1	63000
Suntory Royal Dog 0,7 л	Suntory Royal Dog - это еще один впечатляющий виски от Suntory, с глубоким вкусом и насыщенными ароматами. Этот напиток олицетворяет мастерство японского виски.	0.7	6	52500
Perignon Rosé 2008 0,75 л	Perignon Rosé 2008 - это розовое шампанское с яркими нотами красных фруктов и миндаля. Его премиальное качество и стиль делают его отличным выбором для особых событий.	0.75	8	40950
Dom Pérignon 2012 0,75 л	Dom Pérignon 2012 - это шампанское с характерными ароматами белых цветов и миндаля, с ярким и насыщенным вкусом. Этот напиток известен своим выдающимся качеством и статусом.	0.75	18	28350
Highland Park 18 Years Old 0,7 л	Highland Park 18-летний виски представляет собой богатый напиток с нотами сухих фруктов, дыма и меда. Его выдающееся качество и сложность делают его великолепным представителем шотландского виски.	0.7	12	17850
Highland Park 21 Years Old 0,7 л	Highland Park 21-летний виски характеризуется глубоким вкусом с нотами торфа, ванили и специй. Его долгая выдержка придает этому напитку уникальный и сбалансированный характер.	0.7	6	29400
Glenmorangie Signet 0,7 л	Glenmorangie Signet - это виски с богатым вкусом, включая ноты шоколада, кофе и специй. Этот напиток отличается выдающимся качеством и индивидуальным стилем.	0.7	15	25200
Frapin XO 0,7 л	Frapin XO - это коньяк с насыщенными фруктовыми и древесными оттенками. Его долгая выдержка делает его великолепным выбором для ценителей коньяка и тех, кто ищет истинный изысканный вкус.	0.7	0	0
